"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","superphylum","phylum","subphylum","class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"136845","286","species_group","Pseudomonas putida group","1","131567","2","","","1224","","1236","72274","","","135621","","286","","136845","","","","","",""
"136846","286","species_group","Pseudomonas stutzeri group","1","131567","2","","","1224","","1236","72274","","","135621","","286","","136846","","","","","",""
"136849","286","species_group","Pseudomonas syringae group","1","131567","2","","","1224","","1236","72274","","","135621","","286","","136849","","","","","",""
"671232","1301","species_group","Streptococcus anginosus group","1","131567","2","","","1239","","91061","186826","","","1300","","1301","","671232","","","","","",""
"119603","1301","species_group","Streptococcus dysgalactiae group","1","131567","2","","","1239","","91061","186826","","","1300","","1301","","119603","","","","","",""
"578833","136846","species_subgroup","Pseudomonas stutzeri subgroup","1","131567","2","","","1224","","1236","72274","","","135621","","286","","136846","578833","","","","",""
"470","909768","species","Acinetobacter baumannii","1","131567","2","","","1224","","1236","72274","","","468","","469","","909768","","470","","","",""
"134534","469","species","Acinetobacter gyllenbergii","1","131567","2","","","1224","","1236","72274","","","468","","469","","","","134534","","","",""
"40214","469","species","Acinetobacter johnsonii","1","131567","2","","","1224","","1236","72274","","","468","","469","","","","40214","","","",""
"28090","469","species","Acinetobacter lwoffii","1","131567","2","","","1224","","1236","72274","","","468","","469","","","","28090","","","",""
"48296","909768","species","Acinetobacter pittii","1","131567","2","","","1224","","1236","72274","","","468","","469","","909768","","48296","","","",""
"40216","469","species","Acinetobacter radioresistens","1","131567","2","","","1224","","1236","72274","","","468","","469","","","","40216","","","",""
"202789","76833","species","Actinobaculum massiliense","1","131567","2","","","201174","","1760","2037","","","2049","","76833","","","","202789","","","",""
"1657","76833","species","Actinobaculum suis","1","131567","2","","","201174","","1760","2037","","","2049","","76833","","","","1657","","","",""
"33007","1654","species","Actinomyces neuii","1","131567","2","","","201174","","1760","2037","","","2049","","1654","","","","33007","","","",""
"131111","1654","species","Actinomyces turicensis","1","131567","2","","","201174","","1760","2037","","","2049","","1654","","","","131111","","","",""
"59505","1653174","species","Actinotignum schaalii","1","131567","2","","","201174","","1760","2037","","","2049","","1653174","","","","59505","","","",""
"190146","1653174","species","Actinotignum urinale","1","131567","2","","","201174","","1760","2037","","","2049","","1653174","","","","190146","","","",""
"87541","1375","species","Aerococcus christensenii","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","87541","","","",""
"119206","1375","species","Aerococcus sanguinicola","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","119206","","","",""
"1376","1375","species","Aerococcus urinae","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","1376","","","",""
"51665","1375","species","Aerococcus urinaeequi","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","51665","","","",""
"1323230","1375","species","Aerococcus vaginalis","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","1323230","","","",""
"1377","1375","species","Aerococcus viridans","1","131567","2","","","1239","","91061","186826","","","186827","","1375","","","","1377","","","",""
"356828","419014","species","Alloscardovia criceti","1","131567","2","","","201174","","1760","85004","","","31953","","419014","","","","356828","","","",""
"1160091","419014","species","Alloscardovia macacae","1","131567","2","","","201174","","1760","85004","","","31953","","419014","","","","1160091","","","",""
"419015","419014","species","Alloscardovia omnicolens","1","131567","2","","","201174","","1760","85004","","","31953","","419014","","","","419015","","","",""
"33029","165779","species","Anaerococcus hydrogenalis","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","33029","","","",""
"411577","165779","species","Anaerococcus murdochii","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","411577","","","",""
"1287640","165779","species","Anaerococcus obesiensis","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","1287640","","","",""
"54007","165779","species","Anaerococcus octavius","1","131567","2","","","1239","","186801","186802","","","1570339","","165779","","","","54007","","","",""
